id,city,address,zip code,latitude,longitude,features,name,ownership,storeNumber,Mobile Payment,Digital Rewards,LaBoulange,Bakery,My Starbucks Rewards,Wireless Hotspot,Drive-Thru,Oven-warmed Food,Verismo,Mobile Order and Pay,Music Experience,Lunch,tbd - Blonde Espresso,Google Wi-Fi,Nitro Cold Brew,Starbucks Reserve-Clover Brewed,Playbook Store System,tbd - Coffee Scale
9585,Cottage Grove,7190 East Point Douglas Rd. S.,55016,44.8331,-92.957079,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Cottage Grove-E. Point Douglas,CO,9479-96696,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
1019349,COTTAGE GROVE,7280 E POINT DOUGLAS RD,55016,44.831517,-92.959779,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}]",Hy-Vee Cottage Grove,LS,50771-276115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1005912,Cottage Grove,8655 E Point Douglas Rd S,55016,44.816736,-92.930314,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",Target Cottage Grove T-662,LS,20345-204770,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
1024164,St. Paul,84 South Wabasha,55107,44.939844,-93.089767,[],West Side Flats Starbucks,LS,55976-289397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15646,St. Paul,380 St. Peter St.,55102,44.945363,-93.095257,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",380 St. Peter St-Lawson Commons,CO,2462-18999,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
8250,West St. Paul,1470 Roberts St. South,55118,44.901824,-93.08025,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",S. Robert & Thompson-West St. Paul,CO,9526-96609,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
8480,Saint Paul,1750 S Robert St,55118,44.893768,-93.07845,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target Saint Paul ST-2046,LS,76440-97594,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1016545,Shoreview,441 Hwy 96 W,55126,45.079517,-93.119852,[],Kowalski's @ Shoreview,LS,49710-266984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16472,Shoreview,3800 N Lexington Ave,55126,45.055847,-93.144711,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target Shoreview ST-619,LS,72645-32261,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1007202,Arden Hills,3833 Lexington Ave N,55126,45.05709,-93.147875,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'CL', u'name': u'Starbucks Reserve-Clover Brewed'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Lexington and Red Fox - Arden Hills,CO,21376-209526,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0
14598,St. Paul,1062 Grand Ave.,55105,44.939827,-93.144813,"[{u'code': u'CL', u'name': u'Starbucks Reserve-Clover Brewed'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",St. Paul-Grand Ave & Oxford St,CO,10156-99311,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
8481,Roseville,1515 W County Rd B,55113,45.007743,-93.16476,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target Roseville ST-2101,LS,76441-90372,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7654,St. Paul,1300 University Ave,55401,44.954349,-93.155397,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target - St. Paul T-2229,LS,76771-108255,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1015668,Saint Paul,1261 GRAND AVENUE,55105,44.940066,-93.153601,[],Kowalski's - St. Paul,LS,47124-248644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90221,St. Paul,1536 Hewitt Avenue,55104,44.966316,-93.165565,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hamline University,LS,17498-147376,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1009391,Roseville,900 Rosedale CTR,55113,45.014549,-93.174235,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Macy's-Rosedale #233,LS,23753-154129,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
6680,Roseville,1820 Hwy 36,55113,45.007638,-93.176366,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Hwy 36 and Fairview Avenue,CO,13624-106909,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
18398,Roseville,2305 Fairview Avenue,55113,45.011115,-93.17761,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'NB', u'name': u'Nitro Cold Brew'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",NWC Hwy 36 and Fairview,CO,2209-658,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
1010267,St. Paul,234 Snelling Avenue North,55104,44.948278,-93.166716,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Snelling and Marshall,CO,2211-236704,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0
17611,Lino Lakes,749 Apollo Dr,55014,45.182992,-93.105463,"[{u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'BA', u'name': u'Bakery'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}]",Target Lino Lakes ST-1448,LS,72677-64263,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89775,Inver Grove Heights,7841 Amana Trl,55077,44.820994,-93.083932,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}]",Target Inver Grove Heights T-2519,LS,16842-138228,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
1006267,Forest Lake,356 12th St SW,55025,45.274578,-92.998835,"[{u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}]",Target Forest Lake T-1244,LS,20343-204765,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17650,St. Paul,2078 FORD PARKWAY,55116,44.917571,-93.187866,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",2078 Ford Parkway,CO,276-1490,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
9379,Forest Lake,2009 W. Broadway Ave.,55025,45.283415,-93.009329,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'MX', u'name': u'Music Experience'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Forest Lake,CO,2621-61481,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
1020064,St. Anthony,3704 Silver Lake Rd NE,55421,45.03725,-93.219058,"[{u'code': u'DT', u'name': u'Drive-Thru'}, {u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'WF', u'name': u'Wireless Hotspot'}, {u'code': u'VS', u'name': u'Verismo'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'GO', u'name': u'Google Wi-Fi'}, {u'code': u'XO', u'name': u'Mobile Order and Pay'}, {u'code': u'NB', u'name': u'Nitro Cold Brew'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",St Anthony - 37th & Silver Lake Rd,CO,48827-265350,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0
7584,Minneapolis,1650 New Brighton Blvd,55413,45.004796,-93.229939,"[{u'code': u'WA', u'name': u'Oven-warmed Food'}, {u'code': u'CD', u'name': u'Mobile Payment'}, {u'code': u'DR', u'name': u'Digital Rewards'}, {u'code': u'LB', u'name': u'LaBoulange'}, {u'code': u'LU', u'name': u'Lunch'}, {u'code': u'RW', u'name': u'My Starbucks Rewards'}, {u'code': u'PS', u'name': u'Playbook Store System'}, {u'code': u'BE', u'name': u'tbd - Blonde Espresso'}]",Target Minneapolis T-1095,LS,76653-94395,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
